team_id,t_original,club_id,club_name,final_name,final_team_name,final_club_name
64e69e71-accf-4fa6-a420-1939d95d2a50,MKS KANIA Gostyń,5a8a3778-82d8-4ec2-b4e1-6d566c69f405,MKS Kania Gostyń sp.z o.o.,Kania Gostyń,Kania Gostyń,Kania Gostyń
b2a05311-eec6-4bce-a098-872d9b333c62,MKS KANIA Gostyń III,5a8a3778-82d8-4ec2-b4e1-6d566c69f405,MKS Kania Gostyń sp.z o.o.,MKS Kania Gostyń sp.z o.o. III,Kania III Gostyń,Kania Gostyń
3e09c275-e558-4d69-bd2c-224cf92dac2c,Błękitni Kuźnica Czarnkowska,5a8a0457-cd8e-481e-ba44-8e825c7a413e,KS Błękitni KUŹNICA CZARNKOWSKA,Błękitni Kuźnica Czarnkowska,Błękitni Kuźnica Czarnkowska,Błękitni Kuźnica Czarnkowska
0b391644-dbbc-4760-8579-9baaedc04901,ZKS Elana Toruń,5a7f4cf2-954d-41e3-b0cf-099aa2cc83c3,ZKS ELANA 1968 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Elana Toruń,Elana Toruń,Elana Toruń
ffb6bf3e-0b59-40a1-a90d-5ceab5acf50e,ZKS Elana Toruń,5a7f4cf2-954d-41e3-b0cf-099aa2cc83c3,ZKS ELANA 1968 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Elana Toruń,Elana Toruń,Elana Toruń
b525c9d9-9285-4a9f-a9bf-74b9daf54d5b,ZKS Elana Toruń,5a7f4cf2-954d-41e3-b0cf-099aa2cc83c3,ZKS ELANA 1968 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Elana Toruń,Elana Toruń,Elana Toruń
c21c3c7d-31ce-4054-b8ba-ff7345d9ba4a,ZKS Elana II Toruń,5a7f4cf2-954d-41e3-b0cf-099aa2cc83c3,ZKS ELANA 1968 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Elana II Toruń,Elana II Toruń,Elana Toruń
8cb707d0-04b6-4404-af06-1be73b6ff34f,ZKS Elana Toruń,5a7f4cf2-954d-41e3-b0cf-099aa2cc83c3,ZKS ELANA 1968 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Elana Toruń,Elana Toruń,Elana Toruń
880018d3-eaf6-4b49-ad5d-6d633d84fd6d,ZKS Elana II Toruń,5a7f4cf2-954d-41e3-b0cf-099aa2cc83c3,ZKS ELANA 1968 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Elana II Toruń,Elana II Toruń,Elana Toruń
07ff316b-c628-47cd-b6e4-bce80167e575,ZKS Elana Toruń,5a7f4cf2-954d-41e3-b0cf-099aa2cc83c3,ZKS ELANA 1968 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Elana Toruń,Elana Toruń,Elana Toruń
79d5d413-bbdd-4471-9833-aecce5d2e992,ZKS Elana Toruń,5a7f4cf2-954d-41e3-b0cf-099aa2cc83c3,ZKS ELANA 1968 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Elana Toruń,Elana Toruń,Elana Toruń
17300e9a-073b-42b4-8c32-9999898f02cb,ZKS Elana Toruń,5a7f4cf2-954d-41e3-b0cf-099aa2cc83c3,ZKS ELANA 1968 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Elana Toruń,Elana Toruń,Elana Toruń
f0e4f784-6b1d-4433-96f3-805a11a2584b,ZKS Elana II Toruń,5a7f4cf2-954d-41e3-b0cf-099aa2cc83c3,ZKS ELANA 1968 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Elana II Toruń,Elana II Toruń,Elana Toruń
f3064b13-f4c4-41fd-a8f0-f7bf51ea47b9,GKS Sierakowice,5a6eec80-38bf-4ac9-8dc1-fa9f9878d798,GKS Sierakowice,GKS Sierakowice,GKS Sierakowice,GKS Sierakowice
78ce5c1f-b51c-41c7-bb90-86079397f325,GKS Sierakowice,5a6eec80-38bf-4ac9-8dc1-fa9f9878d798,GKS Sierakowice,GKS Sierakowice,GKS Sierakowice,GKS Sierakowice
4363a69a-f03a-4455-a5de-0783be0dcf55,GKS Sierakowice,5a6eec80-38bf-4ac9-8dc1-fa9f9878d798,GKS Sierakowice,GKS Sierakowice,GKS Sierakowice,GKS Sierakowice
a9b62e93-4668-416e-bca2-4d9c01e239a1,Zorza Kowala,5a5b4c3d-c8eb-4b7a-937d-21719a2f8297,GKS Zorza Kowala,Zorza Kowala,Zorza Kowala,Zorza Kowala
430266e6-df86-4a92-98d7-c4d525279e3e,Zorza Kowala,5a5b4c3d-c8eb-4b7a-937d-21719a2f8297,GKS Zorza Kowala,Zorza Kowala,Zorza Kowala,Zorza Kowala
ce879992-92b0-44d9-b851-1ffc74ae795c,Znicz Rojewo,5a18f803-c70e-462d-b3ea-092fe98a7b32,"LUDOWY ZESPÓŁ SPORTOWY ""ZNICZ"" ROJEWO",Znicz Rojewo,Znicz Rojewo,Znicz Rojewo
b7d39e3b-324b-4912-aad3-b2d4e518b052,Znicz Rojewo,5a18f803-c70e-462d-b3ea-092fe98a7b32,"LUDOWY ZESPÓŁ SPORTOWY ""ZNICZ"" ROJEWO",Znicz Rojewo,Znicz Rojewo,Znicz Rojewo
75e5de88-e70e-4cf5-9365-8ba5551f27bc,Znicz Rojewo,5a18f803-c70e-462d-b3ea-092fe98a7b32,"LUDOWY ZESPÓŁ SPORTOWY ""ZNICZ"" ROJEWO",Znicz Rojewo,Znicz Rojewo,Znicz Rojewo
f26d6537-f853-4eb5-8536-f95a05abb69f,Besko LKS Przełom,5a1042ce-b643-4615-a453-9eb8adf3e950,Besko LKS Przełom,Przełom Besko,Przełom Besko,Przełom Besko
900f5745-d6a1-4ac0-99f6-c1cc258276dc,Besko LKS Przełom,5a1042ce-b643-4615-a453-9eb8adf3e950,Besko LKS Przełom,Przełom Besko,Przełom Besko,Przełom Besko
b376bd1c-2bc9-4313-a68a-30e7fe74121e,Besko LKS Przełom,5a1042ce-b643-4615-a453-9eb8adf3e950,Besko LKS Przełom,Przełom Besko,Przełom Besko,Przełom Besko
3ef94280-b91d-407a-95ae-31d66013dc3f,WKS-Wieluń,5a046529-68e1-44b7-8f91-2a461036a154,Stowarzyszenie WKS - Wieluń,Stowarzyszenie WKS - Wieluń,WKS Wieluń,WKS Wieluń
e747fa8e-ce4f-4353-bf02-9f0fe25e9fd6,WKS-Wieluń,5a046529-68e1-44b7-8f91-2a461036a154,Stowarzyszenie WKS - Wieluń,Stowarzyszenie WKS - Wieluń,WKS Wieluń,WKS Wieluń
0eb86fae-97f3-4d52-a6fe-02ff81e837e5,WKS-Wieluń,5a046529-68e1-44b7-8f91-2a461036a154,Stowarzyszenie WKS - Wieluń,Stowarzyszenie WKS - Wieluń,WKS Wieluń,WKS Wieluń
7412c41f-d4f5-40b9-9808-8dede63a940d,MAROL Jacentów,59ee480b-d644-4b2e-9923-8cb68e82b0c4,MAROL Jacentów,Marol Jacentów,Marol Jacentów,Marol Jacentów
21fd6131-6ce0-4074-a301-ffd0c853d8c0,INA Ińsko,59d0aa07-a36c-4cd1-ab6b-b64a6e8e8274,LKS Ina Ińsko,LKS Ina Ińsko,Ina Ińsko,Ina Ińsko
e9fabbfa-0339-4e54-bb42-62b27f0e6808,AP Crasnovia Krasne,59cf710b-ba39-4d1a-8db6-75cf99e6e238,STOWARZYSZENIE KLUB SPORTOWY AKADEMIA PIŁKARSKA CRASNOVIA KRASNE,Crasnovia Krasne,Crasnovia Krasne,Crasnovia Krasne
b5e9d1a0-1a12-4418-9e46-f08ad9aa12f1,UKS JURAJSKIE WILKI,59b9fce4-8438-44de-8a04-9941daee3a16,"UCZNIOWSKI KLUB SPORTOWY ""JURAJSKIE WILKI""","UCZNIOWSKI KLUB SPORTOWY ""JURAJSKIE WILKI""",Jurajskie Wilki,Jurajskie Wilki
0069f4ea-af49-4229-b8f0-67f1d426ed72,UKS JURAJSKIE WILKI,59b9fce4-8438-44de-8a04-9941daee3a16,"UCZNIOWSKI KLUB SPORTOWY ""JURAJSKIE WILKI""","UCZNIOWSKI KLUB SPORTOWY ""JURAJSKIE WILKI""",Jurajskie Wilki,Jurajskie Wilki
897b0676-ce82-4d00-9584-d9d90329f61f,AP HUTNIK Szczecin,59a9d583-59b8-41f0-9c47-cc5e9266418b,KSAP HUTNIK SZCZECIN,Hutnik Szczecin,Hutnik Szczecin,Hutnik Szczecin
600d88c8-ffec-4298-9eed-4900973c97ac,AP HUTNIK Szczecin,59a9d583-59b8-41f0-9c47-cc5e9266418b,KSAP HUTNIK SZCZECIN,Hutnik Szczecin,Hutnik Szczecin,Hutnik Szczecin
ceedbc17-075e-4a79-8894-32a997597ce9,ZRYW LANCKORONA,59a55af9-8a6a-4f1e-8b72-60145dd3629a,LUDOWY KLUB SPORTOWY ZRYW LANCKORONA,Zryw Lanckorona,Zryw Lanckorona,Zryw Lanckorona
c1b5393c-97c0-4e94-a045-7f27484e80f1,KP KSZO 1929 Ostrowiec Św.,599c08f8-638c-4fb2-ab57-d63ef9722260,KP KSZO 1929 Ostrowiec Św.,KP KSZO 1929 Ostrowiec Św.,KSZO 1929 Ostrowiec Świętokrzyski,KSZO 1929 Ostrowiec Świętokrzyski
dd3da57b-ee07-4439-aa23-1b9ab5474df6,KP KSZO 1929 I Ostrowiec Św.,599c08f8-638c-4fb2-ab57-d63ef9722260,KP KSZO 1929 Ostrowiec Św.,KSZO 1929 I Ostrowiec Św,KSZO 1929 Ostrowiec Świętokrzyski,KSZO 1929 Ostrowiec Świętokrzyski
eb5899ec-fc79-489d-a59d-d745c9862ee5,KP KSZO 1929 I Ostrowiec Św.,599c08f8-638c-4fb2-ab57-d63ef9722260,KP KSZO 1929 Ostrowiec Św.,KSZO 1929 I Ostrowiec Św,KSZO 1929 Ostrowiec Świętokrzyski,KSZO 1929 Ostrowiec Świętokrzyski
bf4b691f-0720-4f5b-a24f-da9be9ab1812,KP KSZO 1929 II Ostrowiec Św.,599c08f8-638c-4fb2-ab57-d63ef9722260,KP KSZO 1929 Ostrowiec Św.,KSZO 1929 II Ostrowiec Św,KSZO 1929 II Ostrowiec Świętokrzyski,KSZO 1929 Ostrowiec Świętokrzyski
6c10bd3e-e3b9-4fca-84fb-8e7a64e66ede,KP KSZO 1929 IV Ostrowiec Św.,599c08f8-638c-4fb2-ab57-d63ef9722260,KP KSZO 1929 Ostrowiec Św.,KSZO 1929 IV Ostrowiec Św,KSZO IV 1929 Ostrowiec Świętokrzyski,KSZO 1929 Ostrowiec Świętokrzyski
2dcbdef7-6fef-4538-90a6-57a103d63d00,KP KSZO 1929 Ostrowiec Św.,599c08f8-638c-4fb2-ab57-d63ef9722260,KP KSZO 1929 Ostrowiec Św.,KP KSZO 1929 Ostrowiec Św.,KSZO 1929 Ostrowiec Świętokrzyski,KSZO 1929 Ostrowiec Świętokrzyski
